Requirement_ID,Requirement_Text,Source,Section,Domain,Suggested_Category,Final_Category
REQ_00001,"1.7.1.2 The ERTMS/ETCS on-board equipment shall implement all its allocated requirements, with the only exceptions and conditions explicitly stated in the Control -Command and Signalling TSI and in this SRS.",SUBSET-026-1 v360.pdf,,,Review,Review
REQ_00002,"In any case, the requirements of this SRS , which are allocated to the trackside and related to the implemented functions, shall be respected.",SUBSET-026-1 v360.pdf,,,Review,Review
REQ_00003,1.7.1.5 Not specified requirements and solutions shall only be permitted as long as they do not generate any interoperability problems.,SUBSET-026-1 v360.pdf,,,Performance,Performance
REQ_00004,The description of the procedures shows all states of the ERTMS/ETCS onboard unit and the conditions tha t must be fulfilled to switch from one state to another.,SUBSET-026-1 v360.pdf,,,Review,Review
REQ_00006, Eurobalises must be able to transmit variable information.,SUBSET-026-2 v360.pdf,,,Functional,Functional
REQ_00008,3.4 Balise configuration and linking 3.4.1 Balise Configurations – Balise Group Definition 3.4.1.1 A balise group shall consist of between one and eight balises.,SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00009,3.4.1.2 In every balise shall at least be stored: a) The internal number (from 1 to 8) of the balise b) The number of balises inside the group c) The balise group identity.,SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00011,"3.4.2.3.2.2 For balise groups consisting of a single balise, the information ""direction with which the linked balise group will be passed over"" received from a previous balise group shall assign a co-ordinate system to the balise.",SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00013,"no linking information is available to identify the orientation of the co-ordinate system of this single balise group, the ERTMS/ETCS on-board equipment shall report its position by means of a position report based on two balise groups reporting the train position in reference to the LRBG and the “previous LRBG”, if any.",SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00014,"3.4.2.3.3.2 When a single balise group is detected and the previous LRBG is known, the position report based on two balise groups shall use as direction reference a move from the “previous LRBG” towards this single balise group (being the new LRBG): directional information in the position report pointing in the same direction as the direction reference shall be reported as “nominal”, otherwise as “reverse”.",SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00015,"3.4.2.3.3.3 If the “previous LRBG “ is not known, the “previous LRBG” and all directional information of the position report based on two balise groups shall be reported as “unknown”.",SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00018,"3.4.2.3.3.6 The assignment of a co -ordinate system received from the RBC shall iden tify the balise group for which the assignment is given, and shall assign a balise group orientation “nominal” or “reverse” to this balise group relative to the on-board direction reference reported in the position report based on two balise groups (see 3.4.2.3.3.2).",SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00020,3.4.2.3.3.8 A co-ordinate system assignment received from trackside shall be rejected by the ERTMS/ETCS on-board equipment if the referred LRBG is memorised (see 3.6.2.2.2c) to have been reported more than once and with different “previous LRBGs”.,SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00021,3.4.2.4 Balise groups composed of one pair of duplicated balises 3.4.2.4.1 A group of two balises duplicating each other shall be treated as a single balise group in case where only one balise is correctly read.,SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00023,"If such information is transmitted by balises, and if the information is directional, balise groups consisting of at least two balises shall be used.",SUBSET-026-3 v360.pdf,,,Functional,Functional
REQ_00024,3.4.4.2 Content of linking information 3.4.4.2.1 Linking information shall be composed of: a) The identity of the linked balise group.,SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00025,"3.4.4.2.1.1 ""Linking information is used"" shall be interpreted as when balise group(s) are announced and the minimum safe antenna position has not yet passed the expectation window of the furthest announced balise group.",SUBSET-026-3 v360.pdf,,,Safety,Safety
REQ_00026,3.4.4.2.2 Instead of the identity of a linked balise group it shall be possible to identify a following linked balise group as unknown but containing repositioning information 3.4.4.2.2.1 Intentionally deleted.,SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00028,"3.4.4.3 Unlinked Balise Groups 3.4.4.3.1 A balise group, which contains information that must be considered even when the balise group is not announced by linking, is called an unlinked balise group.",SUBSET-026-3 v360.pdf,,,Review,Functional
REQ_00029,3.4.4.3.2 Unlinked balise groups shall consist at minimum of two balises.,SUBSET-026-3 v360.pdf,,,Review,Functional
