Requirement_ID,Requirement_Text,Source,Section,Domain
REQ_00001,"1.7.1.2 The ERTMS/ETCS on-board equipment shall implement all its allocated requirements,  with the only exceptions and conditions explicitly stated in the Control -Command and  Signalling TSI and in this SRS.",SUBSET-026-1 v360.pdf,,
REQ_00002,"In any case, the requirements of this SRS , which are allocated to the trackside and   related to the implemented functions, shall be respected.",SUBSET-026-1 v360.pdf,,
REQ_00003,1.7.1.5 Not specified requirements and solutions shall only be permitted as long as they do not  generate any interoperability problems.,SUBSET-026-1 v360.pdf,,
REQ_00004,The description of the procedures shows all states of the ERTMS/ETCS  onboard unit and the conditions tha t must be fulfilled to switch from one state to  another.,SUBSET-026-1 v360.pdf,,
REQ_00005,"1.8.7 Chapter 6: Management of older System Versions  1.8.7.1.1 Chapter 6 defines the envelope of legally operated system versions and list s the  exceptions that shall apply by derogation to the requirements listed in  the other  chapters of the SRS, when an older ERTMS/ETCS system version is used  by the  trackside subsystem.",SUBSET-026-1 v360.pdf,,
REQ_00006, Eurobalises must be able to transmit variable information.,SUBSET-026-2 v360.pdf,,
REQ_00007,"3.3.1.4 Notes, Justifications and Examples are only informative and shall not be regarded as  requirements.",SUBSET-026-3 v360.pdf,,
REQ_00008,3.4 Balise configuration and linking  3.4.1 Balise Configurations – Balise Group Definition  3.4.1.1 A balise group shall consist of between one and eight balises.,SUBSET-026-3 v360.pdf,,
REQ_00009,3.4.1.2 In every balise shall at least be stored:  a) The internal number (from 1 to 8) of the balise  b) The number of balises inside the group  c) The balise group identity.,SUBSET-026-3 v360.pdf,,
REQ_00010,No inherent coordinate system  Location Reference  Single Balise Group  schematic representation  1st    Figure 1a: Single balise group  3.4.2.3.2 Level 1:  3.4.2.3.2.1 The assignment of the co-ordinate system shall be by means of linking data.,SUBSET-026-3 v360.pdf,,
REQ_00011,"3.4.2.3.2.2 For balise groups consisting of a single balise, the information ""direction with which  the linked balise group will be passed over"" received from a previous balise group shall  assign a co-ordinate system to the balise.",SUBSET-026-3 v360.pdf,,
REQ_00012,"ERA * UNISIG * EEIG ERTMS USERS GROUP      SUBSET-026-3  3.6.0  13/05/2016  System Requirements Specification  Chapter 3  Principles  Page 11/204      Reference  Balise group  with inherent  co-ordinate  system  Single balise group with co- ordinate system assigned by  linking information  Linking distance  nominal reverse  Nominal  or reverse Linking  information    Figure 2: Assignment of a co-ordinate system to a single balise group by linking  3.4.2.3.2.3 The reference for the linking data shall be either a single b alise group if a co - ordinate system has been assigned to it before, or a balise group consisting of two or  more balises (with ""inherent"" co-ordinate system)  3.4.2.3.3 Level 2/3:  3.4.2.3.3.1 If the ERTMS/ETCS on-board equipment cannot evaluate the orientation of the last  balise group detected, being a single balise group, i.e.",SUBSET-026-3 v360.pdf,,
REQ_00013,"no linking information is  available to identify the orientation of the co-ordinate system of this single balise group,  the ERTMS/ETCS on-board equipment shall report its position by means of a position  report based on two balise groups reporting the train position in reference to the LRBG  and the “previous LRBG”, if any.",SUBSET-026-3 v360.pdf,,
REQ_00014,"3.4.2.3.3.2 When a  single balise group is detected and the previous LRBG is known, the  position report based on two balise groups shall use as direction reference a move  from the  “previous LRBG”  towards this single balise group (being the new LRBG):  directional information in the position report pointing in the same direction as the  direction reference shall be reported as “nominal”, otherwise as “reverse”.",SUBSET-026-3 v360.pdf,,
REQ_00015,"3.4.2.3.3.3 If the “previous LRBG “ is not known, the “previous LRBG” and all directional  information of the position report based on two balise groups shall be reported as  “unknown”.",SUBSET-026-3 v360.pdf,,
REQ_00016,"3.4.2.3.3.4 If a new single balise group (BG2), different from the current LRBG (BG1),  becomes LRBG while the running direction of the train is opposite to the running  direction when this current LRBG (BG1) was last  passed, the “previous LRBG” and all  ERA * UNISIG * EEIG ERTMS USERS GROUP      SUBSET-026-3  3.6.0  13/05/2016  System Requirements Specification  Chapter 3  Principles  Page 12/204    directional information of the position report based on two balise groups shall be  reported as “unknown” (see Figure 2a).",SUBSET-026-3 v360.pdf,,
REQ_00017,"Figure 2a: Position report based on two balise groups versus train running direction  3.4.2.3.3.5 If a single balise group, being the LRBG,  is detected again, the LRBG and the  “previous LRBG” of the position report based on two balise groups shall remain  unchanged.",SUBSET-026-3 v360.pdf,,
REQ_00018,"3.4.2.3.3.6 The assignment of a co -ordinate system received from the RBC shall iden tify the  balise group for which the assignment is given, and shall assign a balise group  orientation “nominal” or “reverse” to this balise group  relative to the on-board direction  reference reported in the position report based on two balise groups (see 3.4.2.3.3.2).",SUBSET-026-3 v360.pdf,,
REQ_00019,"BG1  BG2  LRBG = BG2  PrevLRBG = unknown  Dir train position = unknown  Dir train orientation = unknown  Dir running = unknown  open  cab  ERA * UNISIG * EEIG ERTMS USERS GROUP      SUBSET-026-3  3.6.0  13/05/2016  System Requirements Specification  Chapter 3  Principles  Page 13/204      Figure 2b: Example for assigning a co-ordinate system  3.4.2.3.3.7 For single balise gr oups reported as LRBG and stored according to 3.6.2.2.2c,  awaiting an assignment of a co -ordinate system, the ERTMS/ETCS on -board  equipment shall be able to discriminate if a single balise has been reported more than  once and with different “previous LRBGs” to the RBC.",SUBSET-026-3 v360.pdf,,
REQ_00020,3.4.2.3.3.8 A co-ordinate system assignment received from trackside shall be rejected by the  ERTMS/ETCS on-board equipment if the referred LRBG is memorised (see 3.6.2.2.2c)  to have been reported more than once and with different “previous LRBGs”.,SUBSET-026-3 v360.pdf,,
REQ_00021,3.4.2.4 Balise groups composed of one pair of duplicated balises  3.4.2.4.1 A group of two balises duplicating each other shall be treated as a single balise group  in case where only one balise is correctly read.,SUBSET-026-3 v360.pdf,,
REQ_00022,3.4.3.3 Some information shall be read  also in sleeping mode and when no linking information  is available (see Chapter 4 Use of received information).,SUBSET-026-3 v360.pdf,,
REQ_00023,"If such information is  transmitted by balises, and if the information is directional, balise groups consisting of  at least two balises shall be used.",SUBSET-026-3 v360.pdf,,
REQ_00024,3.4.4.2 Content of linking information  3.4.4.2.1 Linking information shall be composed of:  a) The identity of the linked balise group.,SUBSET-026-3 v360.pdf,,
REQ_00025,"3.4.4.2.1.1 ""Linking information is used"" shall be interpreted as when balise group(s) are  announced and the minimum safe antenna position has not yet passed the expectation  window of the furthest announced balise group.",SUBSET-026-3 v360.pdf,,
REQ_00026,3.4.4.2.2 Instead of the identity of a linked balise group it shall be possible to identify a following  linked balise group as unknown but containing repositioning information  3.4.4.2.2.1 Intentionally deleted.,SUBSET-026-3 v360.pdf,,
REQ_00027,"3.4.4.2.3 For each linked balise group, the trackside shall select one of the following reactions to  be used in case of data inconsistencies:  a) Train trip  (Trip mode, see Chapter 4)  b) Command service brake   c) No reaction  For further details see section 3.16.2.",SUBSET-026-3 v360.pdf,,
REQ_00028,"3.4.4.3 Unlinked Balise Groups  3.4.4.3.1 A balise group, which contains information that must be considered even when the  balise group is not announced by linking, is called an unlinked balise group.",SUBSET-026-3 v360.pdf,,
REQ_00029,3.4.4.3.2 Unlinked balise groups shall consist at minimum of two balises.,SUBSET-026-3 v360.pdf,,
REQ_00030,3.4.4.3.3 Unlinked balise groups shall always contain the unlinked balise group qualifier.,SUBSET-026-3 v360.pdf,,
REQ_00031,"3.4.4.4 Rules related to linking  3.4.4.4.1 When no linking information is used on -board, all balise groups shall be taken into  account.",SUBSET-026-3 v360.pdf,,
REQ_00032,"3.4.4.4.2 When linking information is used on -board, only balise groups marked as linked and  included in the linking information and balise groups marked as unlinked shall be taken  into account.",SUBSET-026-3 v360.pdf,,
REQ_00033,"ERA * UNISIG * EEIG ERTMS USERS GROUP      SUBSET-026-3  3.6.0  13/05/2016  System Requirements Specification  Chapter 3  Principles  Page 16/204    3.4.4.4.2.1 When linking information is used on-board and the expected balise group is referred  in the linking information with a balise group with ID “unknown”, a balise g roup marked  as linked shall only be taken into account if:  a) the on-board equipment can determine the orientation of the linked balise group by  information from the balise group itself (therefore excluding for example single  balise groups), AND  b) the balise gr oup contains repositioning information valid for the train orientation,  AND  c) the balise group is crossed with the direction announced in the linking information.",SUBSET-026-3 v360.pdf,,
REQ_00034,3.4.4.4.3 The on-board equipment shall accept a balise group marked as linked and included in  the linking information (i.e.,SUBSET-026-3 v360.pdf,,
REQ_00035,"3.4.4.4.4 In case of a balise group containing repositioning information, the first possible location  shall start from the previously linked balise group.",SUBSET-026-3 v360.pdf,,
REQ_00036,"3.4.4.4.5 The on-board equipment shall expect balise groups one by one (i.e., it shall supervise  only one expectation window at a time) according to the order given by linking  information.",SUBSET-026-3 v360.pdf,,
REQ_00037,"3.4.4.4.6 The ERTMS/ETCS on -board equipment shall stop expecting a balise group and shall  expect the next one announced in the linking information (if any) when:  a) the balise group is found inside its expectation window  b) a linking consistency error is found, see 3.16.2.3.1  3.4.4.4.6.1 Linking consistency error due to early reception of balise group expected later (see  3.16.2.3.1 c)): if the balise group found is the next one announced in the linking  information, the ERTMS/ETCS on -board equipment shall check its linking consistency  and apply again clause 3.4.4.4.6, i.e.",SUBSET-026-3 v360.pdf,,
REQ_00038,3.5.2.4 The ERTMS/ETCS on -board equipment shall be able to manage simultaneous  communication sessions with at least two different entities.,SUBSET-026-3 v360.pdf,,
REQ_00039,3.5.3.4 The on-board shall establish a communication session  a) At Start of Mission (only if level 2 or 3).,SUBSET-026-3 v360.pdf,,
REQ_00040,"c) If a mode change, neither considered as an End of Mission  nor triggered from  condition g) below, has to be reported to the RBC (only if level 2 or 3)  d) If the driver has manually changed the level to 2 or 3  e) When the train front reaches the end of an announced radio hole  f) When the previous communication session is considered as terminated due to loss  of safe radio connection (refer to 3.5.4.2.1)  g) When a Start of Mission procedure, during which no communicat ion session could  be established, is completed in level 2 or 3  h) When outside the Start of Mission procedure, the driver has manually selected the  RBC contact information (only if level 2 or 3)  ERA * UNISIG * EEIG ERTMS USERS GROUP      SUBSET-026-3  3.6.0  13/05/2016  System Requirements Specification  Chapter 3  Principles  Page 18/204    3.5.3.4.1 In respect of a), b), c) , d), e) and h) of 3.5.3.4, the on -board shall not establish a new  communication session with an RBC/RIU in case a communication session is currently  being established or is already established with this RBC/RIU.",SUBSET-026-3 v360.pdf,,
REQ_00041,3.5.3.5 The order to contact an RBC shall include  a) The identity of the RBC.,SUBSET-026-3 v360.pdf,,
REQ_00042,"3.5.3.5.2 If the ERTMS/ETCS on -board equipment has  to establish a communication session  with an RBC whilst in session with another RBC, the existing communication session  shall be terminated (see 3.5.5.2 for details) and the new one shall be established.",SUBSET-026-3 v360.pdf,,
REQ_00043,Exception: the order to contact an Accepting RBC shall not terminate the  communication session with the Handing Over RBC.,SUBSET-026-3 v360.pdf,,
REQ_00044,3.5.3.5.3 The order to contact an Accepting RBC shall be part of the RBC transition order and  shall include:  a) The identity of the Accepting RBC.,SUBSET-026-3 v360.pdf,,
REQ_00045,3.5.3.6 The order to contact a Radio Infill Unit shall include  a) The identity of the Radio Infill Unit  b) The telephone number of the Radio Infill Unit  c) The action to be performed (establish/terminate the session).,SUBSET-026-3 v360.pdf,,
REQ_00046,3.5.3.7 The establishment of a communication session shall be performed ac cording to the  following steps:  a) The on-board shall request the set-up of a safe radio connection with the trackside.,SUBSET-026-3 v360.pdf,,
REQ_00047,"If this request is part of an ongoing Start of Mission procedure  or is related to the  establishment of a communication session due to condition 3.5.3.4 c ), it shall be  repeated until successful or a defined number of times (see Appendix A.3.1).",SUBSET-026-3 v360.pdf,,
REQ_00048,"5.3.4 c), it shall  be repeated until successful.",SUBSET-026-3 v360.pdf,,
REQ_00049,A request shall be repeated immediately after EURORADIO has indicated that  setting up the safe radio connection has failed.,SUBSET-026-3 v360.pdf,,
